"No.","Time","Source","Destination","Protocol","Length","Info"
"25509","222.032721","192.168.234.129","52.167.17.97","TLSv1.2","141","Application Data"
"25510","222.032849","192.168.234.129","52.167.17.97","TLSv1.2","2009","Application Data"
"25512","222.032982","192.168.234.129","52.167.17.97","TLSv1.2","92","Application Data"
"25516","222.085966","52.167.17.97","192.168.234.129","TLSv1.2","92","Application Data"
"25518","222.139805","52.167.17.97","192.168.234.129","TLSv1.2","409","Application Data"
"25521","222.194951","52.167.17.97","192.168.234.129","TLSv1.2","96","Application Data"
"25527","222.355049","192.168.234.129","52.167.17.97","TLSv1.2","268","Client Hello (SNI=settings-win.data.microsoft.com)"
"25531","222.410471","52.167.17.97","192.168.234.129","TLSv1.2","892","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"25533","222.417577","192.168.234.129","52.167.17.97","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"25535","222.470982","52.167.17.97","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"25536","222.471844","192.168.234.129","52.167.17.97","TLSv1.2","141","Application Data"
"25537","222.471965","192.168.234.129","52.167.17.97","TLSv1.2","1060","Application Data"
"25540","222.472233","192.168.234.129","52.167.17.97","TLSv1.2","92","Application Data"
"25542","222.523946","52.167.17.97","192.168.234.129","TLSv1.2","92","Application Data"
"25544","222.630900","52.167.17.97","192.168.234.129","TLSv1.2","418","Application Data"
"25547","222.687573","52.167.17.97","192.168.234.129","TLSv1.2","96","Application Data"
"25554","222.840502","192.168.234.129","52.167.17.97","TLSv1.2","268","Client Hello (SNI=settings-win.data.microsoft.com)"
"25558","222.896247","52.167.17.97","192.168.234.129","TLSv1.2","892","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"25560","222.903305","192.168.234.129","52.167.17.97","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"25562","222.957918","52.167.17.97","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"25563","222.958845","192.168.234.129","52.167.17.97","TLSv1.2","141","Application Data"
"25564","222.959004","192.168.234.129","52.167.17.97","TLSv1.2","287","Application Data"
"25567","222.959343","192.168.234.129","52.167.17.97","TLSv1.2","92","Application Data"
"25569","223.011946","52.167.17.97","192.168.234.129","TLSv1.2","92","Application Data"
"25570","223.063962","52.167.17.97","192.168.234.129","TLSv1.2","409","Application Data"
"25574","223.116927","52.167.17.97","192.168.234.129","TLSv1.2","96","Application Data"
"25579","223.233916","192.168.234.129","52.167.17.97","TLSv1.2","268","Client Hello (SNI=settings-win.data.microsoft.com)"
"25583","223.289039","52.167.17.97","192.168.234.129","TLSv1.2","892","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"25585","223.291695","192.168.234.129","52.167.17.97","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"25587","223.345061","52.167.17.97","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"25588","223.345943","192.168.234.129","52.167.17.97","TLSv1.2","141","Application Data"
"25589","223.346023","192.168.234.129","52.167.17.97","TLSv1.2","823","Application Data"
"25592","223.346254","192.168.234.129","52.167.17.97","TLSv1.2","92","Application Data"
"25594","223.399064","52.167.17.97","192.168.234.129","TLSv1.2","92","Application Data"
"25598","223.525257","52.167.17.97","192.168.234.129","TLSv1.2","418","Application Data"
"25601","223.579008","52.167.17.97","192.168.234.129","TLSv1.2","96","Application Data"
"25606","223.719797","192.168.234.129","52.167.17.97","TLSv1.2","268","Client Hello (SNI=settings-win.data.microsoft.com)"
"25610","223.775142","52.167.17.97","192.168.234.129","TLSv1.2","892","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"25612","223.778263","192.168.234.129","52.167.17.97","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"25614","223.832997","52.167.17.97","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"25615","223.833985","192.168.234.129","52.167.17.97","TLSv1.2","141","Application Data"
"25616","223.834174","192.168.234.129","52.167.17.97","TLSv1.2","1051","Application Data"
"25619","223.834528","192.168.234.129","52.167.17.97","TLSv1.2","92","Application Data"
"25621","223.884896","52.167.17.97","192.168.234.129","TLSv1.2","92","Application Data"
"25622","223.937947","52.167.17.97","192.168.234.129","TLSv1.2","409","Application Data"
"25632","223.993963","52.167.17.97","192.168.234.129","TLSv1.2","96","Application Data"
"25634","223.996460","23.209.188.12","192.168.234.129","TLSv1.3","78","Application Data"
"25636","223.999794","23.209.188.6","192.168.234.129","TLSv1.3","78","Application Data"
"25643","224.086915","192.168.234.129","52.167.17.97","TLSv1.2","268","Client Hello (SNI=settings-win.data.microsoft.com)"
"25647","224.143017","52.167.17.97","192.168.234.129","TLSv1.2","892","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"25649","224.145569","192.168.234.129","52.167.17.97","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"25651","224.199387","52.167.17.97","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"25652","224.200204","192.168.234.129","52.167.17.97","TLSv1.2","141","Application Data"
"25653","224.200274","192.168.234.129","52.167.17.97","TLSv1.2","525","Application Data"
"25656","224.200562","192.168.234.129","52.167.17.97","TLSv1.2","92","Application Data"
"25658","224.253179","52.167.17.97","192.168.234.129","TLSv1.2","92","Application Data"
"25660","224.306078","52.167.17.97","192.168.234.129","TLSv1.2","409","Application Data"
"25663","224.359151","52.167.17.97","192.168.234.129","TLSv1.2","96","Application Data"
"25668","224.931455","192.168.234.129","52.167.17.97","TLSv1.2","268","Client Hello (SNI=settings-win.data.microsoft.com)"
"25672","224.986187","52.167.17.97","192.168.234.129","TLSv1.2","892","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
