"No.","Time","Source","Destination","Protocol","Length","Info"
"1967","40.538958","92.223.118.254","192.168.234.129","HTTP","446","HTTP/1.1 304 Not Modified "
"1968","40.546194","192.168.234.129","92.223.118.254","HTTP","336","GET /msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?f74cae70db8ff0bc HTTP/1.1 "
"1970","40.615587","92.223.118.254","192.168.234.129","HTTP","447","HTTP/1.1 304 Not Modified "
"11152","85.077759","192.168.234.129","23.4.43.62","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBSRXerF0eFeSWRripTgTkcJWMm7iQQUaDfg67Y7%2BF8Rhvv%2BYXsIiGX0TkICEAq7yhIMeYEKGC9y%2BJwENY8%3D HTTP/1.1 "
"11154","85.102039","23.4.43.62","192.168.234.129","OCSP","1035","Response"
"17275","214.457222","192.168.234.129","151.101.146.172","HTTP","364","GET /filestreamingservice//files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b/pieceshash HTTP/1.1 "
"17277","214.504148","151.101.146.172","192.168.234.129","HTTP","1323","HTTP/1.1 200 OK "
"17288","214.638646","192.168.234.129","151.101.54.172","HTTP","483","GET /filestreamingservice/files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b?P1=1757115376&P2=404&P3=2&P4=HyPLzDLM%2fUqqqPSeayYKirMKY98GyTIEQFpn2HyjWui2q6Y0Y1FxIP282FtvlBinptFMpjOP9MkRsgLVssL7mg%3d%3d HTTP/1.1 "
"17688","214.853096","192.168.234.129","151.101.54.172","HTTP","489","GET /filestreamingservice/files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b?P1=1757115376&P2=404&P3=2&P4=HyPLzDLM%2fUqqqPSeayYKirMKY98GyTIEQFpn2HyjWui2q6Y0Y1FxIP282FtvlBinptFMpjOP9MkRsgLVssL7mg%3d%3d HTTP/1.1 "
"18204","215.058865","151.101.54.172","192.168.234.129","HTTP","1079","HTTP/1.1 206 Partial Content "
"18392","215.099398","192.168.234.129","151.101.54.172","HTTP","490","GET /filestreamingservice/files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b?P1=1757115376&P2=404&P3=2&P4=HyPLzDLM%2fUqqqPSeayYKirMKY98GyTIEQFpn2HyjWui2q6Y0Y1FxIP282FtvlBinptFMpjOP9MkRsgLVssL7mg%3d%3d HTTP/1.1 "
"19155","215.235941","151.101.54.172","192.168.234.129","HTTP","465","HTTP/1.1 206 Partial Content "
"19294","215.283273","192.168.234.129","151.101.54.172","HTTP","489","GET /filestreamingservice/files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b?P1=1757115376&P2=404&P3=2&P4=HyPLzDLM%2fUqqqPSeayYKirMKY98GyTIEQFpn2HyjWui2q6Y0Y1FxIP282FtvlBinptFMpjOP9MkRsgLVssL7mg%3d%3d HTTP/1.1 "
"19676","215.385955","151.101.54.172","192.168.234.129","HTTP","1124","HTTP/1.1 206 Partial Content "
"19794","215.498979","192.168.234.129","151.101.54.172","HTTP","489","GET /filestreamingservice/files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b?P1=1757115376&P2=404&P3=2&P4=HyPLzDLM%2fUqqqPSeayYKirMKY98GyTIEQFpn2HyjWui2q6Y0Y1FxIP282FtvlBinptFMpjOP9MkRsgLVssL7mg%3d%3d HTTP/1.1 "
"21193","215.759758","151.101.54.172","192.168.234.129","HTTP","102","HTTP/1.1 206 Partial Content "
"21195","215.761373","192.168.234.129","151.101.54.172","HTTP","491","GET /filestreamingservice/files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b?P1=1757115376&P2=404&P3=2&P4=HyPLzDLM%2fUqqqPSeayYKirMKY98GyTIEQFpn2HyjWui2q6Y0Y1FxIP282FtvlBinptFMpjOP9MkRsgLVssL7mg%3d%3d HTTP/1.1 "
"21246","215.768636","151.101.54.172","192.168.234.129","HTTP","367","HTTP/1.1 206 Partial Content "
"21248","215.770164","192.168.234.129","151.101.54.172","HTTP","489","GET /filestreamingservice/files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b?P1=1757115376&P2=404&P3=2&P4=HyPLzDLM%2fUqqqPSeayYKirMKY98GyTIEQFpn2HyjWui2q6Y0Y1FxIP282FtvlBinptFMpjOP9MkRsgLVssL7mg%3d%3d HTTP/1.1 "
"21371","215.798961","151.101.54.172","192.168.234.129","HTTP","732","HTTP/1.1 206 Partial Content "
"21780","215.847924","192.168.234.129","151.101.54.172","HTTP","489","GET /filestreamingservice/files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b?P1=1757115376&P2=404&P3=2&P4=HyPLzDLM%2fUqqqPSeayYKirMKY98GyTIEQFpn2HyjWui2q6Y0Y1FxIP282FtvlBinptFMpjOP9MkRsgLVssL7mg%3d%3d HTTP/1.1 "
"22181","215.893878","151.101.54.172","192.168.234.129","HTTP","565","HTTP/1.1 206 Partial Content "
"22476","215.969171","192.168.234.129","151.101.54.172","HTTP","489","GET /filestreamingservice/files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b?P1=1757115376&P2=404&P3=2&P4=HyPLzDLM%2fUqqqPSeayYKirMKY98GyTIEQFpn2HyjWui2q6Y0Y1FxIP282FtvlBinptFMpjOP9MkRsgLVssL7mg%3d%3d HTTP/1.1 "
"22936","215.991098","151.101.54.172","192.168.234.129","HTTP","663","HTTP/1.1 206 Partial Content "
"22938","215.992871","192.168.234.129","151.101.54.172","HTTP","490","GET /filestreamingservice/files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b?P1=1757115376&P2=404&P3=2&P4=HyPLzDLM%2fUqqqPSeayYKirMKY98GyTIEQFpn2HyjWui2q6Y0Y1FxIP282FtvlBinptFMpjOP9MkRsgLVssL7mg%3d%3d HTTP/1.1 "
