"No.","Time","Source","Destination","Protocol","Length","Info"
"14827","118.528811","192.168.234.2","192.168.234.129","DNS","233","Standard query response 0xf920 HTTPS img-s-msn-com.akamaized.net CNAME a1834.dscg2.akamai.net CNAME user-att-99-77-104-0.a1834.dscg2.akamai.net SOA n0dscg2.akamai.net"
"14828","118.534089","192.168.234.2","192.168.234.129","DNS","190","Standard query response 0xb909 A img-s-msn-com.akamaized.net CNAME a1834.dscg2.akamai.net CNAME user-att-99-77-104-0.a1834.dscg2.akamai.net A 23.49.5.137 A 23.49.5.138"
"14980","118.683756","192.168.234.129","192.168.234.2","DNS","72","Standard query 0x4145 A www.bing.com"
"14981","118.683970","192.168.234.129","192.168.234.2","DNS","72","Standard query 0x7a1b HTTPS www.bing.com"
"14982","118.692853","192.168.234.129","192.168.234.2","DNS","86","Standard query 0xcd86 PTR 12.27.171.150.in-addr.arpa"
"14984","118.719429","192.168.234.2","192.168.234.129","DNS","282","Standard query response 0x4145 A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net CNAME user-att-99-77-104-0.e86303.dscx.akamaiedge.net A 23.53.13.168 A 23.53.13.166 A 23.53.13.164"
"14985","118.719429","192.168.234.2","192.168.234.129","DNS","312","Standard query response 0x7a1b HTTPS www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net CNAME user-att-99-77-104-0.e86303.dscx.akamaiedge.net SOA n0dscx.akamaiedge.net"
"14986","118.719429","192.168.234.2","192.168.234.129","DNS","195","Standard query response 0xcd86 No such name PTR 12.27.171.150.in-addr.arpa SOA ns1-07.azure-dns.com"
"14989","118.722492","192.168.234.129","192.168.234.2","DNS","84","Standard query 0x04d3 PTR 137.5.49.23.in-addr.arpa"
"15014","118.742687","192.168.234.129","192.168.234.2","DNS","74","Standard query 0xe620 A thaka.bing.com"
"15015","118.743277","192.168.234.129","192.168.234.2","DNS","74","Standard query 0x6d5b HTTPS thaka.bing.com"
"15028","118.751113","192.168.234.2","192.168.234.129","DNS","147","Standard query response 0x04d3 PTR 137.5.49.23.in-addr.arpa PTR a23-49-5-137.deploy.static.akamaitechnologies.com"
"15075","118.769818","192.168.234.2","192.168.234.129","DNS","267","Standard query response 0x6d5b HTTPS thaka.bing.com CNAME thaka.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net CNAME user-att-99-77-104-0.e86303.dscx.akamaiedge.net SOA n0dscx.akamaiedge.net"
"15102","118.777591","192.168.234.2","192.168.234.129","DNS","237","Standard query response 0xe620 A thaka.bing.com CNAME thaka.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net CNAME user-att-99-77-104-0.e86303.dscx.akamaiedge.net A 23.53.13.164 A 23.53.13.168 A 23.53.13.166"
"15985","124.482638","192.168.234.129","192.168.234.2","DNS","76","Standard query 0x80d4 A wpad.localdomain"
"15995","125.487911","192.168.234.129","192.168.234.2","DNS","76","Standard query 0x80d4 A wpad.localdomain"
"16006","125.498411","192.168.234.2","192.168.234.129","DNS","76","Standard query response 0x80d4 No such name A wpad.localdomain"
"16009","126.006378","192.168.234.129","192.168.234.2","DNS","78","Standard query 0xdc07 A edge.microsoft.com"
"16010","126.006621","192.168.234.129","192.168.234.2","DNS","78","Standard query 0xb03d HTTPS edge.microsoft.com"
"16011","126.034825","192.168.234.2","192.168.234.129","DNS","206","Standard query response 0xb03d HTTPS edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net SOA ns1.ax-msedge.net"
"16012","126.034825","192.168.234.2","192.168.234.129","DNS","178","Standard query response 0xdc07 A edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net A 150.171.27.11 A 150.171.28.11"
"16044","126.508016","192.168.234.2","192.168.234.129","DNS","76","Standard query response 0x80d4 No such name A wpad.localdomain"
"16080","131.110116","192.168.234.129","192.168.234.2","DNS","72","Standard query 0xc5ec A www.bing.com"
"16081","131.110304","192.168.234.129","192.168.234.2","DNS","72","Standard query 0x7d02 HTTPS www.bing.com"
"16082","131.138538","192.168.234.2","192.168.234.129","DNS","282","Standard query response 0xc5ec A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net CNAME user-att-99-77-104-0.e86303.dscx.akamaiedge.net A 23.53.13.166 A 23.53.13.168 A 23.53.13.164"
"16096","131.226816","192.168.234.2","192.168.234.129","DNS","312","Standard query response 0x7d02 HTTPS www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net CNAME user-att-99-77-104-0.e86303.dscx.akamaiedge.net SOA n0dscx.akamaiedge.net"
"16117","135.138614","192.168.234.129","192.168.234.2","DNS","85","Standard query 0x8fae PTR 4.173.189.20.in-addr.arpa"
"16118","135.166750","192.168.234.2","192.168.234.129","DNS","174","Standard query response 0x8fae No such name PTR 4.173.189.20.in-addr.arpa SOA ns1-02.azure-dns.com"
"16285","171.755088","192.168.234.129","192.168.234.2","DNS","85","Standard query 0x5ec0 PTR 48.166.47.23.in-addr.arpa"
"16286","171.787177","192.168.234.2","192.168.234.129","DNS","149","Standard query response 0x5ec0 PTR 48.166.47.23.in-addr.arpa PTR a23-47-166-48.deploy.static.akamaitechnologies.com"
"16314","177.106355","192.168.234.129","192.168.234.2","DNS","78","Standard query 0xeeb9 A edge.microsoft.com"
"16315","177.106689","192.168.234.129","192.168.234.2","DNS","78","Standard query 0x7a1a HTTPS edge.microsoft.com"
"16316","177.109052","192.168.234.129","192.168.234.2","DNS","76","Standard query 0xc877 A wpad.localdomain"
"16323","177.135714","192.168.234.2","192.168.234.129","DNS","178","Standard query response 0xeeb9 A edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net A 150.171.28.11 A 150.171.27.11"
"16324","177.135714","192.168.234.2","192.168.234.129","DNS","206","Standard query response 0x7a1a HTTPS edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net SOA ns1.ax-msedge.net"
"16352","178.118035","192.168.234.129","192.168.234.2","DNS","76","Standard query 0xc877 A wpad.localdomain"
"16361","178.129574","192.168.234.2","192.168.234.129","DNS","76","Standard query response 0xc877 No such name A wpad.localdomain"
"16362","178.169736","192.168.234.129","192.168.234.2","DNS","74","Standard query 0xe20a A assets.msn.com"
"16363","178.207045","192.168.234.2","192.168.234.129","DNS","287","Standard query response 0xe20a A assets.msn.com CNAME assets-msn-com-world-atm-default.trafficmanager.net CNAME assets.msn.com-ion.edgesuite.net CNAME a1666.dscr.akamai.net CNAME user-att-99-77-104-0.a1666.dscr.akamai.net A 23.209.188.9 A 23.209.188.12"
"16388","179.127330","192.168.234.2","192.168.234.129","DNS","76","Standard query response 0xc877 No such name A wpad.localdomain"
"16389","180.135519","192.168.234.129","192.168.234.2","DNS","85","Standard query 0xbfa5 PTR 9.188.209.23.in-addr.arpa"
